gap_id,gap_group,name,missing_elements_and_limitations,type_of_gap,priority
1.1,GAP 1,Circular design & disassembly documentation,"ISO 20887 sets DfD/A principles but defines no machine-readable data fields, handover templates, or minimum data sets for digital platforms. No link to IFC property sets or DPP schemas. Guidance only; no normative performance levels.",Standard too generic,High
1.2,GAP 1 ,Circular design & disassembly documentation,"Provides generic data-template framework and taxonomy model. Explicitly states it does not provide content of any templates. No reuse-specific domain template for condition grades, disassembly sequences, or circular potential. REINCARNATE CP-IM JSON schemas reveal concrete missing fields.",Lack of data structure,High
1.3,GAP 1,Circular design & disassembly documentation,"Provides a B2B methodology for circularity data exchange. Does not specify construction-component-specific fields (connection types, disassembly sequence, embodied-carbon history, reuse pathway). DPP/ESPR alignment for construction components not yet defined.",Standard too generic,Medium
1.4,GAP 1 ,Circular design & disassembly documentation,LoIN defines methodology for specifying information requirements in BIM. Does not define reuse-oriented LoIN profiles for dismantled components. A reuse-LoIN specification is absent.,Missing application/profile — LoIN methodology exists in new standard; reuse-domain profile still absent,Medium
1.5,GAP 1 ,Circular design & disassembly documentation,Provides semantic modelling patterns including material chemistry and measurement support. Does not include circularity-specific or reuse-specific modelling patterns. REINCARNATE Ontology (ReOn) lacks a normative anchor.,Missing standard,Low
1.6,GAP 1 ,Circular design & disassembly documentation,"Provides 6-step refurbishment assessment methodology (incl. Step 2: Sustainable deconstruction). References EN 15978, EN 16309, EN 16627 but does not define reuse-pathway criteria, component salvage scoring, or material-harvest triggers. No integration with CP-IM or digital twin representation. No normative circularity performance levels.",Lacks reuse pathway criteria,Medium
2.1,GAP 2 ,Circularity metrics & data structures,"Specifies a multi-level framework for measuring circularity. Does not define construction-sector-specific KPIs, component-level indicators, or a mapping to BIM objects or CP-IM data fields. No bridge to EN 15978 LCA.",Standard too generic,High
2.2,GAP 2 ,Circularity metrics & data structures,"EN 15978 covers whole-building LCA but does not address component-level reuse scenarios or standardised attribution of embodied-carbon savings to reclaimed parts. REINCARNATE innovations (RAS, BAM, TUB) generate CO?-savings data with no standard reporting format.",Missing standard,High
2.3,GAP 2 ,Circularity metrics & data structures,"Provides framework for environmental, social and economic performance of buildings. Does not address secondary/reclaimed component streams or circular interventions. Background reference only.",Background reference only,Low
2.4,GAP 2 ,Circularity metrics & data structures,Provides a framework for sustainability of civil engineering works. No circularity-specific indicators or reuse data structures. Relevant to VIAS demo site (infrastructure).,Background reference only,Low
2.5,GAP 2 ,Circularity metrics & data structures,"Directly targets CE in construction. Specifies framework, principles, definitions and alignment for product TCs. Does not yet exist as a published standard. REINCARNATE demo evidence could directly inform this work item.",Missing standard — now registered as prEN 18177,High
2.6,GAP 2 ,Circularity metrics & data structures,Directly relevant: this work item will produce gap analysis conclusions and recommendations for CEN/TC 350/SC1. REINCARNATE's T5.4/D5.5 is precisely the evidence this work item is designed to absorb. Highest direct contribution opportunity in the project.,Work item cancelled — gap analysis function absorbed or abandoned,High
